,日期,開盤,最高,最低,收盤,漲跌,漲跌(%),成交張數
0,,--,--,--,--,--,--,--
1,,--,--,--,--,--,--,--
2,,--,--,--,--,--,--,--
3,,--,--,--,--,--,--,--
4,,--,--,--,--,--,--,--
5,,--,--,--,--,--,--,--
